日期,上價,中價,下價,平均價,增減%,交易量(公斤),增減%
086/06/08,35,25,15,23.9,-5,"8,818",30
086/06/09,35,25,15,28.5,19,"6,603",-25
086/06/12,38,28,15,25.7,  -  ,"10,315",  -  
086/06/13,32,24,15,24.3,-5,"9,789",-5
086/06/14,32,24,15,25.2,4,"8,612",-12
086/06/15,35,25,15,24.5,-3,"9,264",8
086/06/16,35,25,15,27.5,12,"7,415",-20
086/06/17,35,27,18,28.6,4,"7,350",-1
086/06/18,40,30,20,31.8,11,"6,270",-15
086/06/19,43,33,20,38.7,22,"5,317",-15
086/06/20,55,45,30,49.5,28,"6,164",16
086/06/22,50,40,30,44.4,  -  ,"7,199",  -  
086/06/23,50,35,20,39.3,-11,"7,412",3
086/06/24,50,35,20,40,2,"6,113",-18
086/06/25,45,35,20,33.3,-17,"5,763",-6
086/06/26,30,23,14,23,-31,"8,350",45
086/06/27,30,24,15,21,-9,"10,449",25
086/06/28,27,20,10,17.6,-16,"14,300",37
086/06/30,20,14,8,14.3,  -  ,"15,815",  -  
086/07/01,20,14,8,14,-2,"11,917",-25
086/07/02,35,25,15,24.2,73,"8,655",-27
086/07/03,35,25,15,24.6,2,"10,375",20
086/07/04,30,22,12,19.1,-22,"13,748",33
086/07/05,30,22,12,21.3,12,"10,389",-24
086/07/06,38,28,18,32.1,51,"9,888",-5
086/07/08,40,30,20,29.5,  -  ,"12,995",  -  
086/07/09,30,24,15,24.3,-18,"12,635",-3
086/07/10,36,27,18,28.4,17,"9,692",-23
086/07/11,37,30,20,29.2,3,"8,405",-13
086/07/12,45,35,25,32.9,13,"8,760",4
086/07/13,40,30,20,35.6,8,"14,041",60
086/07/15,32,25,15,24.7,  -  ,"15,674",  -  
086/07/16,32,24,15,22.6,-9,"11,459",-27
086/07/17,33,23,12,20.9,-8,"11,417",0
086/07/18,33,25,15,22.9,10,"9,569",-16
086/07/19,33,23,13,22.4,-2,"10,628",11
086/07/20,36,24,12,24.8,11,"12,172",15
086/07/22,30,20,10,20,  -  ,"14,768",  -  
086/07/23,25,18,10,17.3,-13,"12,681",-14
086/07/24,22,15,8,14.7,-15,"14,141",12
086/07/25,17,12,6,11.3,-23,"15,688",11
086/07/26,16,11,5,10.3,-9,"14,070",-10
086/07/27,14,10,5,9.1,-12,"14,720",5
086/07/28,13,9,5,8.2,-10,"15,750",7
086/07/30,13,9,5,7,  -  ,"15,791",  -  
086/07/31,11,7,3,6.8,-3,"13,478",-15
086/08/01,11,7,3,7.7,13,"12,347",-8
086/08/02,15,10,5,9.7,26,"9,990",-19
086/08/03,16,11,5,9.9,2,"10,680",7
086/08/04,16,10,4,10.2,3,"13,835",30
086/08/06,13,9,4,9.4,  -  ,"13,710",  -  
086/08/07,15,9,4,8.6,-9,"12,236",-11
086/08/08,25,18,10,20.2,135,"8,275",-32
086/08/09,28,20,10,19.6,-3,"10,910",32
086/08/10,32,22,10,23.4,19,"11,324",4
086/08/11,30,22,12,20.3,-13,"15,552",37
086/08/13,39.3,28.8,18,28.7,  -  ,"10,177",  -  
086/08/14,45,30,15,30.8,7,"10,351",2
086/08/15,55,40,25,37.8,23,"7,835",-24
086/08/16,65,45,25,44.1,  -  ,"7,072",  -  
086/08/17,67,50,30,50.4,14,"9,502",34
086/08/20,50,35,20,39.1,  -  ,"12,093",  -  
086/08/21,43,33,20,32,-18,"9,643",-20
086/08/22,35,25,15,27.7,-13,"10,557",9
086/08/23,38,28,15,29.2,5,"10,478",-1
086/08/24,42,32,20,31.6,8,"10,463",0
086/08/25,44,33,18,31.5,0,"8,275",-21
086/08/26,50,35,20,37.2,18,"6,564",-21
086/08/28,57.5,47.6,26.9,45.4,  -  ,"6,733",  -  
086/08/29,40,30,20,30.1,-34,"9,853",46
086/08/30,60,45,30,51,69,"5,352",-46
086/08/31,41.1,32.1,19.1,31.3,-39,"13,013",143
086/09/01,32,22,12,20.3,-35,"14,383",11
086/09/02,22,16,10,13.9,-32,"14,735",2
086/09/03,22,16,10,14.4,4,"17,487",19
086/09/05,20,14,8,12.8,  -  ,"16,595",  -  
086/09/06,26,20,13,19.2,50,"14,764",-11
086/09/07,28,20,10,17.8,-7,"14,335",-3
086/09/08,28,20,10,18.6,4,"13,665",-5
086/09/09,30,20,10,19.7,6,"11,751",-14
086/09/10,35,25,15,22.7,15,"12,369",5
086/09/12,33,23,13,21.2,  -  ,"14,184",  -  
086/09/13,35,25,12,26.4,25,"11,879",-16
086/09/14,35,24,13,23.6,-11,"14,206",20
086/09/15,33,23,13,22.6,-4,"11,284",-21
086/09/16,33,23,13,27.3,21,"12,131",8
086/09/19,28,20,10,19.1,  -  ,"13,160",  -  
086/09/20,28,18,8,18.8,-2,"11,336",-14
086/09/21,30,20,10,21.2,13,"10,639",-6
086/09/22,28,19,10,20,-6,"10,997",3
086/09/23,28,20,10,20.7,3,"8,560",-22
086/09/24,30,20,10,21,1,"7,979",-7
086/09/25,30,20,10,21.7,3,"8,500",7
086/09/27,30,22,12,22.9,  -  ,"8,320",  -  
086/09/28,30,22,12,22.3,-3,"8,514",2
086/09/29,30,22,12,22.2,0,"7,386",-13
086/09/30,30,22,12,24,8,"6,889",-7
086/10/01,30,23,15,22.7,-5,"7,098",3
086/10/02,25,20,12,20.4,-10,"7,702",9
086/10/03,28,20,10,18.8,-8,"9,810",27
086/10/05,17,12,7,11.2,  -  ,"15,733",  -  
086/10/06,15,10,5,11.2,  -  ,"13,986",-11
086/10/07,16,11,5,9.8,-12,"12,305",-12
086/10/08,15,10,4,8.4,-14,"12,650",3
086/10/09,11,8,4,8.3,-1,"14,491",15
086/10/10,12,8,4,6.7,-19,"13,000",-10
086/10/12,12,8,4,7.3,  -  ,"11,440",  -  
086/10/13,15,10,5,8.8,21,"10,700",-6
086/10/14,12,8,4,9.4,7,"13,834",29
