year,day_of_year,special_avg,smooth_14day
2016,324,48.62821653137075,47.21031439319544
2018,324,34.77915510063071,33.87795273914092
2019,324,36.17605697726275,34.96769258597392
2020,324,34.071302966486215,33.02695896640223
2021,324,38.75075017984726,37.69657692394412
2022,324,48.68918510551831,46.73480562465628
2024,324,51.51753392680382,50.18260433755329
1997,325,18.773095717900823,18.61322620995213
1999,325,20.963393843863063,20.706192638286343
2001,325,20.89869871443705,20.64229125749699
2002,325,18.96319870816988,18.88153456384157
2003,325,19.156362167316193,18.92133154772306
2004,325,24.24725879650177,24.040771950051347
2006,325,26.71390660956166,26.69285868808452
2007,325,29.257332118737583,29.21613922608487
2008,325,33.44893603074078,33.30488972390827
2009,325,26.3686164660657,26.144064383496918
2010,325,27.885644789881358,27.88521664405564
2012,325,37.416879731556826,37.38739892375062
2013,325,34.726028536997106,34.57648248993846
2014,325,33.662645039868465,33.24963591779398
2015,325,35.70710129901218,35.403023761629576
2016,325,47.33808283753476,47.33735602620523
2017,325,35.78345087022372,35.755257043124395
2018,325,33.85644472712719,33.80877650886358
2019,325,35.216286018227315,34.888408390365676
2020,325,33.167372304714966,32.95919066400848
2021,325,37.72267117480725,37.61950113500949
2023,325,43.548068574332454,43.54355144315144
2024,325,50.15074503173031,50.0801352355889
1996,326,15.339496984000268,14.735958550635624
1997,326,19.45271536182828,18.679764676489608
1998,326,26.344633221029433,25.587666097887755
1999,326,21.722306197678638,20.780494293205287
2000,326,28.356195042176022,27.54142919578017
2001,326,21.65526898884894,20.716363610079807
2002,326,19.64970042037726,18.948746822365553
2003,326,19.849856742251042,18.989228445613712
2004,326,25.125052935365197,24.12671277953948
2005,326,34.92410697469927,33.449572761657045
2006,326,27.68099781128551,26.83362897930369
2007,326,30.316499873251495,29.31983752088993
2008,326,34.65984734428019,33.42344454002596
2009,326,27.323207546983657,26.237524052095626
2011,326,32.95118276560523,31.559947582890565
2012,326,38.77143770442165,37.58456907685877
2013,326,35.983172883564556,34.69956377192357
2014,326,34.88129300179394,33.368948193947375
2015,326,36.99976223438346,35.529582311196286
2017,326,37.07887579663731,35.94381975966939
2018,326,35.0821085843758,33.92877567940026
2019,326,36.49117856252588,35.0739824028416
2020,326,34.36809050774666,33.13396782133515
2022,326,49.11330576646442,46.76052442591243
2023,326,45.12458655000096,43.567181501343086
1996,327,15.995228416488308,14.791153614484157
1997,327,20.284278282261624,18.749760052970554
1998,327,27.470811224024978,25.682460191476196
1999,327,22.65088938230358,20.85865618330956
2000,327,29.568363108332992,27.64346135481947
2001,327,22.580986472921783,20.794284284776207
2002,327,20.489684040313062,19.019450996722675
2003,327,20.698396626567654,19.060652828787134
2005,327,36.41703954731046,33.67566952490399
2006,327,28.864302607161484,26.93323162228336
2007,327,31.61246687338493,29.42892331085511
2008,327,36.141483370063,33.54815870041488
2010,327,30.130362487785863,28.072282301193837
2011,327,34.35977695220748,31.773271742441988
2012,327,40.42883562379665,37.724077691895296
2013,327,37.52137831005379,34.82903956417756
2014,327,36.37239536655587,33.49445916711433
2016,327,51.14866828861395,47.65491474289947
2017,327,38.66392023235352,36.07723814484603
2018,327,36.5817953955358,34.05500923355628
2019,327,38.051100169925405,35.31022430205553
2020,327,35.83725453861609,33.35646496430888
2021,327,40.75924243705929,37.93763574971241
2022,327,51.21279692827097,47.16025127176325
2023,327,47.05356830277459,43.93444467718637
2024,327,54.18774205238627,50.416562173033626
1996,328,16.34427033927541,14.946383970735779
1998,328,28.070269044850544,25.949058685839095
2000,328,30.213592925892904,27.930416152811127
2002,328,20.936802301366395,19.218299107561926
2004,328,26.770803364187213,24.25795475027685
2005,328,37.21171863377504,34.02908929956198
2006,328,29.49416867844103,27.21335365993088
2007,328,32.30230236270846,29.735715709623836
2008,328,36.9301493721603,33.898904259835206
2009,328,29.112942305072345,26.38024819339623
2010,328,30.787856046687985,28.223217588692574
2011,328,35.10956321981538,32.106726212621325
2012,328,41.31105863147983,38.11643111088436
2013,328,38.34015586608189,35.19317671623708
2015,328,39.42333422526429,35.722852419917906
2016,328,52.26481549593074,47.91113930562914
2017,328,39.507629913077835,36.45246342800396
2018,328,37.380069722815804,34.41002792936429
2019,328,38.88143711927366,35.500837798528366
2021,328,41.648675459279325,38.254222197342266
2022,328,52.33034352690051,47.558032890932125
2023,328,48.080353761959714,44.17015521211603
2024,328,55.370206796557085,50.68801069705652
1996,329,16.055866575159936,15.015629799678058
1997,329,20.36117629540605,18.920490603769846
1998,329,27.574953494861425,26.06798409567967
1999,329,22.73675925478391,21.04930624078369
2000,329,29.68045723085113,28.058422190648773
2001,329,22.666591342389946,20.984345977110838
2003,329,20.776864568769486,19.234868968377686
2004,329,26.298417610748366,24.478469678230486
2005,329,36.55509710828561,34.18674432176084
2006,329,28.97372762541472,27.33831171047134
2007,329,31.73231022493681,29.87257099024624
2009,329,28.599228203985604,26.62005565406847
2010,329,30.244587158656124,28.353656609159913
2011,329,34.490035398820346,32.25547502541569
2012,329,40.58210196583512,38.29145382159822
2014,329,36.510283680750305,33.80060163905291
2015,329,38.727687509410174,36.04758805030269
2016,329,51.34257368232063,48.13256983745499
2017,329,38.810495752806844,36.61984554577901
2018,329,36.720477548483416,34.5683962052277
2020,329,35.97311412564318,33.48983357222489
2021,329,40.9137613564444,38.40590801963884
